Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Crowd Control,Crowd Control Counter,Buffs,Debuffs
Aliceth,Celestial,Marksman,Specialist,B,B,S+,S,stationary,ally-buffer; backline-assassin; cheat-death; execute; hp-scaling; mark-target; non-ult-utility; temporary-stat-buffer,,fast,yes,,,,,"Area, Single target",,Single target — average,,Self — low,,Stun — Single target — average; Knock back — Single target — low; Blind — Area — average,Unaffected — Self — On ultimate,ATK — Self — average; ATK — Multiple targets — average; DEF Penetration — Multiple targets — high; Fatal blow immunity — Single target — high — conditional (rare); Attack range — Single target — high,Execution — Single target — low
Alna,Celestial,Tank,Tank,S+,C,C,S+,moving,ally-buffer; aoe-damage; cc-immunity; invincibility; temporary-stat-buffer,average,average,yes,,,,,"Area, Single target",,,,Self — average,,Bind — Area — average,Immune — Self — Start of battle,Basic stats — Single target — low; Damage taken — Self — low; Max HP — Single target — high,Haste — All units — low; Haste — Area — average; Vitality — Area — low
Alsa,Mauler,Mage,Damage dealer,C,C,C,B,mostly stationary,battlefield-modification; self-repositioner,,fast,,,,,"All units, Area, Single target",,,,,,,Stun — Single target — average; Knock back — Single target — low,Immune — Self — Conditional,Haste — Self — low; Damage dealt — Self — high; Max HP — Self — average,Movement speed — Area — low
Antandra,Mauler,Tank,Tank,B,C,C,B,high movement,ally-shielder; aoe-damage; mass-cc; taunt,,fast,,,,,,"Arc, Area",,,,Self — low,,Stun — Area — average; Knock down — Area — low; Taunt — Area — low,Unaffected — Self — On skill,Damage taken — Self — low; Damage taken — Single target — low — conditional (frequent); Max HP — Self — low,ATK — Arc — average
Arden,Wilder,Mage,Damage dealer,A,C,C,C,stationary,aoe-damage; dot-specialist; mass-cc,,fast,yes,,,,Area,,,,,,,Bind — Multiple targets — average; Bind — Area — average,,ATK — Self — average; Energy — Self — low,
Atalanta,Lightbearer,Marksman,Damage dealer,C,C,C,C,high movement,aoe-damage; battle-start-burst; self-repositioner,,fast,,,,,,"Area, Single target",,,,Self — low,,Stun — Area — average; Knock back — Single target — low; Bind — Single target — average,Unaffected — Self — On skill,Haste — Self — high — conditional (frequent); Damage dealt — Self — low,ATK — Single target — low; Phys DEF — Single target — high
Athalia,Celestial,Rogue,Damage dealer,A+,B,C,S,high movement,backline-assassin; hp-scaling; non-ult-utility; self-repositioner,,fast,,,,,,"Area, Single target",Single target — high,Single target,,Self — high — conditional (frequent),,Knock down — Single target — low,Unaffected — Self — On ultimate,Damage taken — Self — low — conditional (frequent); Execution — Self — low,
Aurora,Celestial,Mage,Support,A+,A+,S+,B,high movement,invincibility; mark-target; summoner,,fast,,,yes,,"Area, Single target",,,,,,,Bind — Area — low,Unaffected — Self — On skill,ATK — Self — low; Haste — All summons — high; Damage taken — All summons — low; Damage dealt — All summons — average; Invincible — Self — high,Haste — Single target — low
Baelran,Celestial,Warrior,Specialist,S,A,S,A+,moving,hp-scaling,,fast,,yes,,,,Area,"Arc, Area, Single target — high",,,Self — low,,Knock down — Area — average; Knock up — Single target — low,Unaffected — Self — Form,ATK — Self — low; Haste — Self — low,Max HP — Single target — low
Berial,Hypogean,Rogue,Damage dealer,C,C,C,B,high movement,assassin; cheat-death; stealth; summoner,,fast,,,yes,,"Area, Single target",,,,,Self — low,,Frighten — Area — average,,,Damage taken — Single target — low; Damage dealt — Single target — low; Energy — Single target — high
Bonnie,Graveborn,Marksman,Specialist,A,A,C,A,high movement,aoe-damage; backline-inhibit; battle-start-burst; enemy-debuffer; non-ult-utility,fast,fast,yes,,,,"Area, Single target",,,,,,,Stun — Single target — average,,Invincible — Self — high,ATK — Single target — high; Magic damage — Single target — low; Haste — Single target — low
Brutus,Mauler,Warrior,Tank,A,B,C,B,moving,aoe-damage; cheat-death; invincibility; life-drain; taunt,fast,fast,,,,,,"Arc, Area",,,Arc — high,,,Taunt — Area — average,Unaffected — Self — On skill; Immune — Self — On skill,Lifedrain — Self — average,Phys DEF — Area — average
Bryon,Wilder,Marksman,Damage dealer,A+,C,C,C,stationary,battle-start-ult; cheat-death; high-initial-energy; summoner,slow,fast,yes,,yes,,Single target,,,,,,,Stun — Single target — low,,Haste — Self — low,Energy — Single target — low; Haste — Area — low
Callan,Graveborn,Tank,Tank,A+,C,C,A+,moving,ally-shielder; cc-immunity,,fast,,,,,All units,,,,,Self — low,,Stun — All units — average; Stun — Single target — average; Knock down — All units — low,Unaffected — Self — Start of battle,Vitality — Self — low,
Carolina,Graveborn,Mage,Specialist,B,C,C,C,mostly stationary,dot-specialist; enemy-debuffer,,fast,,,,,"Area, Single target",,,,,,,Bind — Single target — high,,Crit — Self — low,Haste — Area — low; Haste — Single target — low; Magic DEF — Area — low
Cassadee,Lightbearer,Mage,Specialist,C,A,C,C,stationary,ally-buffer; aoe-damage; enemy-debuffer,average,fast,,,,,"Area, Single target",,,,,,,Stun — Single target — low; Stun — Multiple targets — low; Knock up — Single target — low; Knock up — Multiple targets — low; Knock back — Area — average,,Haste — Self — low,Magic DEF — Area — low
Cecia,Graveborn,Marksman,Damage dealer,B,B,C,C,mostly stationary,enemy-debuffer; mass-cc; summoner,,fast,yes,,yes,,,"Arc, Single target",,,,,,Bind — Area — average; Bind — Single target — average,,ATK SPD — Self — average; DEF Penetration — Self — average,Magic DEF — Single target — low; Phys DEF — Single target — low; Vitality — Single target — low
Chippy,Lightbearer,Tank,Tank,,,,,high movement,self-repositioner,,average,,,,,,Single target,,,,,,,,,
Contess,Hypogean,Support,Support,A+,S+,S+,S+,stationary,ally-healer; ally-shielder; enemy-debuffer; stealth; temporary-stat-buffer; untargetable,,fast,yes,,,,,,,,,Multiple targets — high,Single target — average,Stun — Single target — average; Silence — Single target — high,Untargetable — Self — On skill,ATK — Single target — high; Energy — Self — low,ATK — Multiple targets — high; ATK — Single target — low; Energy — Multiple targets — low; Energy — Single target — low; Max HP — Single target — low
Cryonaia,Hypogean,Mage,Damage dealer,B,C,B,S,mostly stationary,battlefield-modification; cc-immunity; execute; high-damage-ult; invincibility,,fast,yes,,,,"Area, Single target",,,,,,,,Immune — Self — Conditional,ATK — Self — low,Damage taken — Single target — low
Cyran,Lightbearer,Mage,Specialist,S,C,C,A+,mostly stationary,aoe-damage; enemy-grouping; execute; high-initial-energy,,fast,yes,,,,"Area, Single target",,All units — average,,,,,Knock down — Area — low; Displace — All units — low; Displace — Area — low; Bind — Area — low; Bind — Single target — low,Unaffected — Self — Start of battle,ATK — Self — low; Haste — Self — average; Crit — Self — low,Execution — Single target — low; ATK SPD — All units — low
Daimon,Graveborn,Tank,Tank,A+,B,B,A,stationary,ally-shielder; hp-scaling; non-ult-utility; summoner; temporary-stat-buffer,fast,fast,yes,,yes,,Single target,,,,Area — high,,Self — low,Frighten — Area — low,,Damage taken — Self — low; Lifedrain — Single target — low,
Damian,Wilder,Support,Support,C,B,C,B,stationary,ally-buffer; ally-healer; backline-assassin; backline-inhibit; summoner; temporary-stat-buffer,fast,fast,,,yes,,"Area, Single target",,,,,Single target — average,,Stun — Single target — high; Blind — Area — average; Blind — Single target — high,,Haste — Multiple targets — high — conditional (frequent); Energy — Self — high,
Dionel,Celestial,Marksman,Damage dealer,C,C,C,A+,moving,aoe-damage; heal-inhibitor; self-repositioner; untargetable,,fast,,,,,,Area,All units — average,,,,,Knock up — Single target — low,Untargetable — Self — On skill,ATK — Self — average; ATK SPD — Self — low; Execution — Self — low,Vitality — Single target — low
Dunlingr,Celestial,Tank,Tank,A,C,C,S+,moving,ally-buffer; aoe-damage; battle-start-burst; heal-inhibitor; interrupt; temporary-stat-buffer,,fast,,,,,"All units, Area",,,Single target — low,,,Self — low — conditional (frequent),Silence — Single target — low,,ATK — Single target — low; ATK SPD — All units — low; Haste — Single target — average; Damage taken — Self — low; Lifedrain — All units — low,Energy — All units — average; Haste — Single target — low; Haste — All units — low; Vitality — All units — low
Eironn,Wilder,Rogue,Specialist,S,C,C,A+,moving,aoe-damage; battle-start-burst; battle-start-ult; enemy-grouping; mass-cc,,fast,,,,,"Arc, Area",,,,,,Self — average,Displace — Area — low; Bind — Area — average; Bind — Single target — high,,Ranged DEF — Self — high; Dodge chance — Self — high,Haste — Arc — average; Magic DEF — Single target — high
Evie,Lightbearer,Support,Support,B,A+,B,S,high movement,ally-healer; backline-assassin; backline-inhibit; self-repositioner; stealth; temporary-stat-buffer,,fast,,,,,Single target,,,,,Single target — low,,Silence — Single target — high; Displace — Single target — low; Bind — Single target — high,,ATK — Single target — average; Invincible — Self — high,Damage dealt — Single target — average; Debuff duration — Multiple targets — average; Debuff duration — Single target — average; Magic DEF — Single target — low; Magic DEF — All units — average
Faramor,Wilder,Rogue,Damage dealer,S,S,A+,B,moving,ally-buffer; aoe-damage; dot-specialist; heal-inhibitor; hp-scaling,,fast,yes,,,,,"Area, Single target",Area — high,Area — high,,,Self — low,Stun — Area — low,,ATK — Self — low,Vitality — Single target — low
Fay,Lightbearer,Support,Support,C,A,B,C,mostly stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,,yes,,,Area,,,,,Arc — high,,,,ATK — Arc — low; Vitality — Single target — low,
Florabelle,Wilder,Warrior,Damage dealer,A,A+,S,C,stationary,aoe-damage; summoner,,fast,,,yes,,,"Area, Multiple targets",,,,,All summons — average,Knock up — Area — low,Immune — Owned summons — Form,ATK — Self — average,
Frieren,Dimensional,Mage,Damage dealer,S+,S+,S+,S+,stationary,aoe-damage; dot-specialist; heal-inhibitor; high-damage-ult; self-repositioner,,fast,yes,,,,"Area, Single target",,All units — high,,,,,Stun — Single target — low; Knock down — Single target — average; Knock up — Single target — low,,ATK — Self — low; Haste — Self — average,DoT — Area — low; Vitality — Single target — low
