Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Stun,Knock down,Knock up,Knock back,Frighten,Silence,Charm,Sleep,Displace,Bind,Interrupt,Taunt,Blind,Disarm,Unaffected,Steadfast,Immune,Untargetable,Cleanse,atk_buff,basic_stats_buff,atk_spd_buff,haste_buff,crit_buff,def_penetration_buff,def_buff,damage_taken_buff,damage_dealt_buff,ranged_damage_buff,magic_damage_buff,energy_buff,execution_buff,fatal_blow_immunity_buff,invincible_buff,lifedrain_buff,max_hp_buff,ally_empower_buff,attack_range_buff,healing_buff,ranged_def_buff,crit_dmg_boost_buff,vitality_buff,dodge_chance_buff,movement_speed_buff,exemption_buff,tidal_strength_buff,atk_debuff,basic_stats_debuff,dot_debuff,damage_taken_debuff,damage_dealt_debuff,debuff_duration_debuff,magic_damage_debuff,energy_debuff,execution_debuff,haste_debuff,magic_def_debuff,max_hp_debuff,movement_speed_debuff,phys_def_debuff,vitality_debuff,healing_debuff,crit_resist_debuff,vulnerable_debuff,atk_spd_debuff
Aliceth,Celestial,Marksman,Specialist,B,B,S+,S,stationary,ally-buffer; cheat-death; execute; hp-scaling; mark-target; non-ult-utility; temporary-stat-buffer,,fast,yes,,,,,"Area, Single target",,Single target — average,,,,Single target — average,,,Single target — low,,,,,,,,,Area — average,,Self — On ultimate,,,,,Multiple targets — average,,,,,Multiple targets — high,,,,,,,,Single target — high — conditional (rare),,,,,Single target — high,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,
Alna,Celestial,Tank,Tank,S+,C,C,S+,moving,ally-buffer; aoe-damage; cc-immunity; invincibility; temporary-stat-buffer,average,average,yes,,,,,"Area, Single target",,,,,,,,,,,,,,,Area — average,,,,,,,Self — Start of battle,,,,Single target — low,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,,,All units — low; Area — average,,,,,Area — low,,,,
Alsa,Mauler,Mage,Damage dealer,C,C,C,B,mostly stationary,battlefield-modification; self-repositioner,,fast,,,,,"All units, Area, Single target",,,,,,,Single target — average,,,Single target — low,,,,,,,,,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,,,,,
Antandra,Mauler,Tank,Tank,B,C,C,B,high movement,ally-shielder; aoe-damage; mass-cc; taunt,,fast,,,,,,"Arc, Area",,,,,,Area — average,Area — low,,,,,,,,,,Area — low,,,Self — On skill,,,,,,,,,,,,Single target — low — conditional (frequent),,,,,,,,,,,,,,,,,,,,Arc — average,,,,,,,,,,,,,,,,,,
Arden,Wilder,Mage,Damage dealer,A,C,C,C,stationary,aoe-damage; dot-specialist; mass-cc,,fast,yes,,,,Area,,,,,,,,,,,,,,,,Multiple targets — average; Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalanta,Lightbearer,Marksman,Damage dealer,C,C,C,C,high movement,aoe-damage; battle-start-burst; self-repositioner,,fast,,,,,,"Area, Single target",,,,,,Area — average,,,Single target — low,,,,,,Single target — average,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,Single target — high,,,,,
Athalia,Celestial,Rogue,Damage dealer,A+,B,C,S,high movement,hp-scaling; non-ult-utility; self-repositioner,,fast,,,,,,"Area, Single target",Single target — high,Single target,,,,,Single target — low,,,,,,,,,,,,,Self — On ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Celestial,Mage,Support,A+,A+,S+,B,high movement,invincibility; mark-target; summoner,,fast,,,yes,,"Area, Single target",,,,,,,,,,,,,,,,Area — low,,,,,Self — On skill,,,,,,,,All summons — high,,,,All summons — low,All summons — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,
Baelran,Celestial,Warrior,Specialist,S,A,S,A+,moving,hp-scaling,,fast,,,,,,Area,"Arc, Area, Single target — high",,,,,,Area — average,Single target — low,,,,,,,,,,,,Self — Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,
Berial,Hypogean,Rogue,Damage dealer,C,C,C,B,high movement,assassin; cheat-death; stealth; summoner,,fast,,,yes,,"Area, Single target",,,,,,,,,,,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,Single target — low,,,Single target — high,,,,,,,,,,,
